 genes
ywqG
yokI-yokJ-yokK-yokL
mbl
coaX-yacC-yacD-cysK
htrC
rpmGA
scoC
pepF
pucJ-pucK-pucL-pucM
yczE
ywnC
guaD
sco-ypmR-ypmS-ypmT
ydbO
rapF-phrF
mntR
rpmH
ypkP
ytvA
ftsE-ftsX
sigK
yonR-yonS
helD
rpsB
spoIIGA-sigE-sigG
yybI
cymR-yrvO-trmU-yrrB-recD2
yutK
cotJA-cotJB-cotJC-yesJ-yesK
ydeJ
yurI
pftA-pftB
yobV
yfkJ-yfkI-yfkH
cotE
thdF-gidA-gidB-noc
gntR-gntK-gntP-gntZ
htpX
yuzC
ansA-ansB
mnaA
cotH-cotB-ywrJ
yocB
sufA
spoIIP-yqxA
comK
yizD
yxaI
ynzD
yuzG
menE-menC
ylxF-fliK-flgD-flgE-swrD-fliL-fliM-fliY-cheY-fliZ-fliP-fliQ-fliR-flhB-flhA-flhF-flhG-cheB-cheA-cheW-cheC-cheD-sigD-swrB
mhqO-mhqP
yhfO-yhfP-yhfQ
ytpB
trxB
yfiY
yppF
ribD-ribE-ribA-ribH-ribT
yvkC-yvkB-yvkA
hit
yoaG
iolX
ywzH-dltA-dltB-dltC-dltD-dltE
sivC
yocA
spoIVFA-spoIVFB
yvaG
yosX-yotB-yotC-yotD-yotE-yotF-yotG-yotH-yotI-yotJ-yotK-yotM-sprB
yvyE-tagV
yknT
gltC
ebrA-ebrB
yhjN
nsrR
spo0E
asnB-ytnA
ykwB
mntH
yxiB
aseR-aseA-ydzS/1-ydzS/2
sirA-yneF
ydaB
nap
sigV-rsiV-oatA-yrhK
ywtE
yoyG
putP
mcpC
yrkO-yrkN
rpmH-rnpA-yidC1-jag
ycgR-ycgQ
ugtP
cmk-ypfD
yvgT
yloC-remA-gmk-yloH
yvnB
ylaI
rnjB
yolC
efeU-efeO-efeB
spo0A
pyrR-pyrP-pyrB-pyrC-pyrAA-pyrAB-pyrK-pyrD-pyrF-pyrE
ytcP-ytcQ
yjcP-yjcQ
yhfE-yhfF
hutP-hutH-hutU-hutI-hutG-hutM
parA-parB
pnpA
yfiQ
tilS-hprT-ftsH
ynxB
lipC
yebE-yebG
hypR
yetH
yqjN
ptb-bcd-buk-lpdV-bkdAA-bkdAB-bkdB
yizB-yitQ-yitR
tgl
murQ-murR-murP-amiE-nagZ-ybbC
chrS-ywrB-ywrA
comZ
lip
yabM-yabN-yabO-yabP-yabQ-divIC-yabR
dps
ktrA-ktrB
rpsD
pksS
nadB-nadC-nadA
immR-immA-int
levD-levE-levF-levG-sacC
ydfG
hemAT
ccpN-yqfL
yckE
yukJ
yfiZ-yfhA
yqkF
rpmB
bpr
ywoB-ywoC-ywoD
acoA-acoB-acoC-acoL
antE
yqfW
acpA
pbpE-racX
yhcM
recA
ytdA
yetJ-yetK
yjoB
pel
comFA-comFB-comFC-yvyF-flgM-yvyG-flgK-flgL-yviE-fliW-csrA
yhdT
xhlA-xhlB-xlyA
yflL
yybO
thrD
nrnB
ymfK/1-ymfK/2-rodZ
ycgH
yczL-zagA
prfA-prmC-yfkF
yppD-yppE
yxeK-snaB-yxeM-yxeN-yxeO-sndB-yxeQ
yxiB-yxiC-yxiD-yxxD-yxxE
ylmD-ylmE-sepF-ylmG-ylmH
yraG-yraF-adhB-yraE-yraD
bstB
yusZ-mrgA
yqzO-yqaN
ytzL
yufS
rpsB-tsf-pyrH-frr
mleN-mleA
ampS
yetI-yezB
capB-capC-capA-capE
mreBH-ykpC
yvaF-yvaE-yvaD
gamA-gamP
ldt
aag-yxzF
yesL-yesM-yesN
ywiE-ywjA-ywjB
ydhD
surA
serS
yozL-yozK-yobH
yxjN
yvdA-yvdB
pksC-pksD-pksE-acpK-pksF-pksG-pksH-pksI-pksJ-pksL-pksM-pksN-pksR
ruvA-ruvB-yrzS-queA-tgt-yrbF
tcyP
mtnE
prpC-prkC-cpgA-rpe-yloS
yxeF-yxeG-yxeH
yobT-yobS-yobR-yobQ-csaA
yvlA-yvlB-yvlC-yvlD
purA
lipA
folEB-yciB-yczL-zagA
ydzF-ydeN
yqhV-spoIIIAA-spoIIIAB-spoIIIAC-spoIIIAD-spoIIIAE-spoIIIAF-spoIIIAG-spoIIIAH
yuxL
yojK
rocG
ctsR-mcsA-mcsB-clpC-radA-disA
yuzD
cotC
hemA-hemX-hemC-hemD-hemB-hemL
glnR-glnA
rqcH
yjiA
spoIVB
yusV-yusU
cotG
yodT-yodS-yodR-yodQ-yodP-kamA-yokU-yozE
yebC
glgB-glgC-glgD-glgA-glgP
phoA
ybgG
ywhB
comGA-comGB-comGC-comGD-comGE-comGF-comGG-spoIIIL
degS-degU
ypuB-ypuC/1-ypuC/2
ahrC-recN
ydzR
gcvT-gcvPA-gcvPB
ywmD
gtaB
ykpA
ycxC-ycxB
S477-ykoP
gerKD
yfmB-fecC
murG-murB-divIB-ylxW-ylxX-sbp
nupN-nupO-nupP-nupQ
yqfQ-ispH
fbp
yxbF
ybcL
yfmK
nhaX
yodL
swrAA/2-minJ
yisX
besA
yetJ
cmk-ypfD-fni
ymfC
papB
hbs
ypnP
kre
yutG
yhdR
yjlC-ndh
atpI-atpB-atpE-atpF-atpH-atpA-atpG-atpD-atpC
yncC
ydcA
rnz-rpmGC
rnhB-ylqG-ylqH
lytG-yubF
queC-queD-queE-queF
ycnE-ycnD
yfnH-yfnG-yfnF-yfnE-yfnD
ylaK-ylaM
ygxA-rrnD_16S-rrnD_23S-rrnD_5S
yozN-yocN
yfmI-yfmJ
ypjC
gabD
yuzL
ywmA
ypuA
manP-manA-yjdF
rpsU-yqeY
tatAY-tatCY
yhaR
xylR
yqaS
sunI
yrhH
ynfC
ytlP-ytlQ-ytlR-amyX
yhcO
ytzH
exoR
opuBA-opuBB-opuBC-opuBD
yjjA
cypA
S319-yhcT
hrcA-grpE-dnaK-dnaJ-yqeT-yqeU-yqeV
yqeG-yqeH-aroD-yqeI-nadD-yqeK-yqeL-yqeM
nucB
opuAA-opuAB-opuAC
rhaEW-rhaR-rhaB-rhaM-rhaA
ylbF
yorB-yorC
gndA
yoeA
ldh-lctP
ywdI-ywdJ-ywdK
yurJ
trpP
asnS-dnaD-nth-ypoC
fatR-yrhJ
frlB-frlO-frlN-frlM-frlD-yurJ
yerD
yusI-gcvH-yusG
ymxH
ybyB
yisY
ykvO
yhjG-yhjH
yslB
yjaV-med-comZ
mntA-mntB-mntC-mntD
polA-mutM-ytaF-ytaG
ycbP
